PBX DID Range or DISA Number,,,,,
MetaSphere CFS,PBX Phone number,(First) Phone number,Type,First code,Range size
Grid4-Liberty-CFS-1,2486877799,3135374240,DID range,3135374240,1
Grid4-Liberty-CFS-1,2486877799,3135373500,DID range,3135373500,1
Grid4-Liberty-CFS-1,2486877799,3135377389,DID range,3135377389,1
Grid4-Liberty-CFS-1,2486877799,7347380285,DID range,7347380285,1
Grid4-Liberty-CFS-1,2486877799,7347380208,DID range,7347380208,77
Grid4-Liberty-CFS-1,2486877799,7347380286,DID range,7347380286,2
